rank,drug_name,target,binding_score
344,lumacaftor,New Target,649.16
345,pipemidic-acid,New Target,650.68
346,methysergide,New Target,654.1
347,spironolactone,New Target,657.16
348,epiestriol,New Target,658.58
349,cortisone,New Target,659.18
350,reboxetine,New Target,660.51
351,estriol,New Target,660.84
352,vernakalant,New Target,662.41
353,silodosin,New Target,664.33
354,ripasudil,New Target,665.22
355,etafenone,New Target,665.6
356,tribenoside,New Target,673.49
357,danofloxacin,New Target,675.07
358,trichlormethiazide,New Target,676.31
359,dehydroepiandrosterone-sulfate,New Target,676.57
360,chlorthalidone,New Target,677.95
361,flucloxacillin,New Target,679.8
362,aripiprazole,New Target,680.43
363,topotecan,New Target,683.09
364,methylergometrine,New Target,683.4
365,mexiletine,New Target,697.72
366,chloropyramine,New Target,698.95
367,cinchocaine,New Target,699.88
368,oxytetracycline,New Target,703.53
369,nicotine,New Target,704.42
370,piribedil,New Target,707.59
371,bimatoprost,New Target,707.89
372,oxaliplatin,New Target,709.13
373,palmitoylethanolamide,New Target,709.14
374,pipobroman,New Target,712.34
375,elvitegravir,New Target,712.97
376,fentiazac,New Target,713.87
377,bucillamine,New Target,715.24
378,thalidomide,New Target,718.78
379,labetalol,New Target,722.11
380,azilsartan,New Target,722.75
381,tofogliflozin,New Target,722.88
382,hydroxystilbamidine,New Target,726.07
383,dexamethasone,New Target,730.46
384,tropisetron,New Target,735.94
385,forskolin,New Target,738.91
386,nilutamide,New Target,739.3
387,oclacitinib,New Target,740.79
388,tamsulosin,New Target,742.57
389,tadalafil,New Target,745.64
390,oxytetracycline,New Target,748.84
391,methylprednisolone sodium succinate,New Target,752.21
392,clobetasol-propionate,New Target,752.25
393,azosemide,New Target,754.64
394,clopamide,New Target,761.81
395,(r)-(-)-apomorphine,New Target,767.65
396,prednisolone,New Target,770.29
397,osimertinib,New Target,773.65
398,acrivastine,New Target,774.17
399,oxytetracycline,New Target,774.54
400,sparteine-sulfate,New Target,774.91
401,melperone,New Target,776.1
402,sitafloxacin,New Target,776.97
403,sildenafil,New Target,777.09
404,stiripentol,New Target,778.63
405,hydrocortisone-butyrate,New Target,780.99
406,rimexolone,New Target,781.67
407,colchicine,New Target,782.88
408,timolol,New Target,784.54
409,fluorometholone(brd-a13133631),New Target,786.01
410,bifemelane,New Target,786.8
411,moprolol,New Target,787.66
412,scopine,New Target,790.01
413,mitiglinide,New Target,792.04
414,glyburide,New Target,792.97
415,propoxur,New Target,807.54
416,zofenopril-calcium,New Target,809.67
417,alizapride,New Target,811.57
418,carboprost,New Target,817.14
419,triprolidine,New Target,819.43
420,trihexyphenidyl hydrochloride,New Target,823.1
421,cefalonium,New Target,826.46
422,meprednisone,New Target,828.14
423,mefenamic-acid,New Target,836.95
424,ergonovine maleate,New Target,838.31
425,cortisone,New Target,839.7
426,tenofovir-alafenamide,New Target,841.34
427,carvedilol,New Target,849.64
428,tirofiban,New Target,858.75
429,benperidol,New Target,861.2
430,metoclopramide,New Target,861.27
431,tenoxicam,New Target,863.02
432,metoprolol tartrate,New Target,865.37
433,ondansetron,New Target,870.54
434,grapiprant,New Target,872.25
435,apremilast,New Target,878.98
436,tenofovir alafenamide,New Target,893.11
437,pivmecillinam,New Target,904.41
438,tiamulin,New Target,909.73
439,ergonovine,New Target,910.07
440,escitalopram,New Target,910.51
441,epiestriol,New Target,917.08
442,vonoprazan,New Target,920.44
443,lafutidine,New Target,920.97
444,prednisolone-tebutate,New Target,921.26
445,varenicline,New Target,923.94
446,ajmaline,New Target,927.11
447,vinburnine,New Target,930.34
448,tiludronate,New Target,936.24
449,butylscopolamine bromide,New Target,937.77
450,fluoxetine,New Target,938.45
451,florbetaben,New Target,942.23
452,spectinomycin,New Target,947.79
453,ibuproxam,New Target,950.37
454,talniflumate,New Target,951.52
455,cefprozil,New Target,951.67
456,tafamidis-meglumine,New Target,952.78
457,methscopolamine bromide,New Target,956.47
458,methazolamide,New Target,961.78
459,lomerizine,New Target,963.29
460,acotiamide,New Target,964.38
461,dicloxacillin,New Target,966.28
462,diflunisal,New Target,969.82
463,hydrocortisone buteprate,New Target,983.42
464,ketotifen,New Target,986.88
465,nitroscanate,New Target,987.09
466,finafloxacin,New Target,990.49
467,clopamide,New Target,992.06
468,terguride,New Target,997.64
469,pinacidil,New Target,1000.2
470,milrinone,New Target,1000.59
471,meptazinol,New Target,1005.41
472,flunixin-meglumin,New Target,1005.72
473,atomoxetine,New Target,1005.96
474,tirabrutinib,New Target,1012.67
475,valethamate,New Target,1015.59
476,mosapride,New Target,1017.8
477,capsaicin,New Target,1018.92
478,deucravacitinib,New Target,1018.96
479,methotrexate,New Target,1021.24
480,phenyl-salicylate,New Target,1027.89
481,mirtazapine,New Target,1032.96
482,raltegravir,New Target,1033.9
483,flumethasone-pivalate,New Target,1043.36
484,proquazone,New Target,1051.61
485,fursultiamine,New Target,1051.83
486,cloprostenol-(+/-),New Target,1054.39
487,propafenone hydrochloride,New Target,1056.73
488,gestrinone,New Target,1059.8
489,ketotifen,New Target,1061.18
490,darolutamide,New Target,1063.11
491,flortaucipir f18,New Target,1064.98
492,dipt,New Target,1074.55
493,crisaborole,New Target,1075.02
494,dabigatran,New Target,1075.98
495,clenbuterol,New Target,1076.29
496,nicotine bitartrate,New Target,1078.09
497,tirbanibulin,New Target,1078.82
498,imidapril hcl,New Target,1079.42
499,pentostatin,New Target,1080.71
500,setiptiline,New Target,1086.68
501,trandolapril,New Target,1088.89
502,panobinostat,New Target,1094.85
503,tolperisone,New Target,1095.27
504,eltrombopag,New Target,1096.51
